Championship,Team A,Score,Team B,Time
الدوري الإنجليزي,إيبسويتش تاون,- - -,أستون فيلا,16:00
الدوري الإنجليزي,مانشستر يونايتد,- - -,توتنهام هوتسبر,18:30
الدوري الإسباني,سيلتا فيجو,- - -,جيرونا,15:00
الدوري الإسباني,أتلتيك بلباو,- - -,اشبيلية,17:15
الدوري الإسباني,ريال بيتيس,- - -,اسبانيول,19:30
الدوري الإسباني,اتلتيكو مدريد,- - -,ريال مدريد,22:00
بطولة العالم للأندية لكرة اليد,الخليج,- - -,ماجديبورج,15:00
بطولة العالم للأندية لكرة اليد,الزمالك,- - -,فيزبريم,17:30
بطولة العالم للأندية لكرة اليد,الأهلي,- - -,برشلونة,20:00
الدوري الفرنسي,تولوز,- - -,ليون,16:00
الدوري الفرنسي,أنجيه,- - -,ريمس,18:00
الدوري الفرنسي,نانت,- - -,سانت اتيان,18:00
الدوري الفرنسي,ستراسبورج,- - -,مارسيليا,21:45
الدوري الألماني,هولشتاين كيل,- - -,آ. فرانكفورت,16:30
الدوري الألماني,هوفنهايم,- - -,فيردر بريمن,18:30
الدوري الإيطالي,تورينو,- - -,لاتسيو,13:30
الدوري الإيطالي,روما,- - -,فينيزيا,16:00
الدوري الإيطالي,كومو,- - -,هيلاس فيرونا,16:00
الدوري الإيطالي,إمبولي,- - -,فيورنتينا,19:00
الدوري الإيطالي,نابولي,- - -,مونزا,21:45
الدوري السعودي,الفيحاء,- - -,الرياض,18:30
الدوري السعودي,الشباب,- - -,الرائد,21:00
الدوري السعودي,التعاون,- - -,الاتفـــــاق,21:00
الدوري التركي,ايوبسبور,- - -,غازي عنتاب بي.بي.كي,16:00
الدوري التركي,طرابزون سبور,- - -,قونيا سبور,16:00
الدوري التركي,بودرامسبور,- - -,أضنة دمير سبور,19:00
الدوري التركي,انطاليا سبور,- - -,فنربخشة,19:00
الدوري البرتغالي,فاماليكاو,- - -,ناسيونال ماديرا,17:30
الدوري البرتغالي,بورتو,- - -,أروكا,20:00
الدوري البرتغالي,سانتا كلارا,- - -,بوافيستا,22:30
الدوري البرتغالي,سبورتينج براجا,- - -,ريو آفي,22:30
الدوري المغربي,المغرب التطواني,- - -,النادي المكناسي,18:00
الدوري المغربي,الجيش الملكي,- - -,نهضة بركان,20:00
الدوري المغربي,الفتح الرباطي,- - -,اتحاد طنجة,20:00
الدوري المغربي,أولمبيك آسفي,- - -,الرجاء البيضاوي,22:00
الدوري التونسي,إتحاد بن قردان,- - -,الأولمبي الباجي,17:00
الدوري التونسي,شبيبة العمران,- - -,الصفاقســــي,17:00
الدوري التونسي,النجم الساحلى,- - -,اتحاد تطاوين,17:00
الدوري التونسي,فابيس,- - -,الإتحاد المنستيري,17:00
الدوري التونسي,الترجي الجرجيسي,- - -,النجم الرياضي بالمتلوي,17:00
الدوري التونسي,الترجى الرياضي,- - -,الملعب التونسي,19:30
