Company Name,Required Skills,More Info
virtusaconsultingservicespvt.ltd.,"python
java
debugging
communication
selfstarter
jobposting",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-6-to-9-yrs-jobid-y0uIgU9wNkpzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"**pythondevelopment
java
debugging
problemsolving
communicationskills**
css",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-4-to-5-yrs-jobid-XguO8H2brt5zpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"python
objectorientedprogramming
databaseconnectors
apidevelopment
testdrivendevelopment
git
linux",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-8-to-11-yrs-jobid-uEnaRCLKbn5zpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"pythondevelopment
objectorientedprogramming
databaseconnectors
testdrivendevelopment
linuxenvironment
git
api",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-8-to-11-yrs-jobid-O8sAGuGqm7lzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"python
apidesign
linux
databaseconnectors
testdrivendevelopment
git
objectorientedprogramming",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-8-to-11-yrs-jobid-__PLUS__fsqeS1UnlVzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"pythondevelopment
objectorientedprogramming
databaseconnectors
testdrivendevelopment
linuxenvironment
git
api",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-8-to-11-yrs-jobid-XfVNZZl9S__PLUS__VzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"apidesignandmanagement
python
linux
rabbitmq
sdlc/devops
database
git
objectorientedprogramming",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-pune-8-to-11-yrs-jobid-GoXWZDV1YtdzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"pythondevelopment
javaproficiency
debuggingskills
problemsolving
communicationskills
jobposting",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-4-to-6-yrs-jobid-VS__SLASH__PexBPRktzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"pythondevelopment
softwaredevelopment
debugging
problemsolving
communicationskills
jobposting",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-4-to-5-yrs-jobid-8jw8KkxnfAxzpSvf__PLUS__uAgZw==&source=srp
virtusaconsultingservicespvt.ltd.,"**pythondevelopment
softwaredevelopment
debuggingskills
problemsolving
communicationskills**
css
softwareengineer",https://www.timesjobs.com/job-detail/python-virtusa-consulting-services-pvt-ltd-5-to-8-yrs-jobid-3yWydZwNeVFzpSvf__PLUS__uAgZw==&source=srp
